project_name	publication_year	publication_doi	sample_name	sample_host	archive_project	archive_sample_accession	date_information_present	date_is_radiocarbon	archaeological_historical_date	multiple_dates	reference_location	reference_citation_depth	primary_secondary_reference_citation_doi	direct_dating_individual	direct_dating_element	radiocarbon_lab_code	radiocarbon_lab_sample_id	spectrometry_type	pretreatment_reported	pretreatment_type	sample_material	uncalibrated_date	uncalibrated_uncertainty_plus_minus	delta_13c	carbon_perc	delta_15n	carbon_nitrogen_ratio	calibration_reported	calibration_curve	calibration_software	calibration_software_version	calibration_software_settings	calibration_software_citation_doi	calibrated_range_lower	calibrated_range_upper	calibrated_range_median	calibrated_range_suffix	calibrated_range_confidence_interval	reservoir_offset_mentioned	reservoir_offset_applied	reservoir_offset_type	reservoir_offset_reported	reservoir_offset_reported_sd	reservoir_aquatic_carbon_perc	reservoir_aquatic_carbon_perc_sd
Scorrano2022	2022	10.1038/s42003-022-04190-2	San Teodoro 5	Homo sapiens	PRJEB55789	ERS13439324	TRUE	TRUE	DNE	FALSE	supplement text	1	10.1038/s42003-022-04190-2	TRUE	NR	LTL	14277A	AMS	NR	NR	NR	12637	100	-99999	-99999	-99999	-99999	TRUE	NR	NR	NR	NR	NR	15322	14432	-99999	cal BP	95.4	FALSE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP5.2T	Homo sapiens	PRJEB56776	ERS13577724	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP10T	Homo sapiens	PRJEB56776	ERS13577725	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP11.4K	Homo sapiens	PRJEB56776	ERS13577726	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP13.4K	Homo sapiens	PRJEB56776	ERS13577727	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP18T	Homo sapiens	PRJEB56776	ERS13577728	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP19.4K	Homo sapiens	PRJEB56776	ERS13577729	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP20K	Homo sapiens	PRJEB56776	ERS13577730	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP22K	Homo sapiens	PRJEB56776	ERS13577731	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP25K	Homo sapiens	PRJEB56776	ERS13577732	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP26T	Homo sapiens	PRJEB56776	ERS13577733	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP27T	Homo sapiens	PRJEB56776	ERS13577734	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP31T	Homo sapiens	PRJEB56776	ERS13577735	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP36T	Homo sapiens	PRJEB56776	ERS13577736	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP38T	Homo sapiens	PRJEB56776	ERS13577737	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Kimsis2023	2023	10.1111/1758-2229.13157	LZP40T	Homo sapiens	PRJEB56776	ERS13577738	TRUE	FALSE	1350-850	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Appelt2014	2014	10.1128/AEM.03242-13	4.453	Homo sapiens	PRJNA230469	SRS510175	TRUE	FALSE	650-550	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Sabin2020	2020	10.1098/rstb.2019.0576	RGA001	Homo sapiens	PRJNA640385	SRS7054141	TRUE	TRUE	550-450	FALSE	main text	2	10.1016/j.ijpp.2015.02.003	FALSE	FALSE	OxA	29344	AMS	DNE	DNE	charcoal	584	24	-99999	-99999	-99999	-99999	TRUE	IntCal13	OxCal	4.3.2	NR	10.1017/S0033822200033865	1304	1413	-99999	cal AD	95.4	FALSE	DNE	DNE	NA	NA	NA	NA
Sabin2020	2020	10.1098/rstb.2019.0576	MAM001	Homo sapiens	PRJNA640385	SRS7054140	TRUE	FALSE	594	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	101	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	101_S58	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	102	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	102_S59	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	103	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	103_S60	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	104	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	104_S61	TRUE	FALSE	270-200	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
