Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession	TODO
Environment	Slon2017	10.1126/science.aam9695	SP3860	ERS1601043	ERR1883736	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3860	ERS1601044	ERR1883737	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601056	ERR1883749	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1601057	ERR1883750	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1601064	ERR1883757	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1601065	ERR1883758	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1601066	ERR1883759	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1601067	ERR1883760	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1601068	ERR1883761	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1601069	ERR1883762	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1601058	ERR1883751	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1601059	ERR1883752	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1601060	ERR1883753	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1601061	ERR1883754	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1601062	ERR1883755	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1601063	ERR1883756	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601096	ERR1883789	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601097	ERR1883790	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601098	ERR1883791	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601099	ERR1883792	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601100	ERR1883793	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601101	ERR1883794	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601102	ERR1883795	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601109	ERR1883802	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601110	ERR1883803	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601111	ERR1883804	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601112	ERR1883805	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601113	ERR1883806	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601114	ERR1883807	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601115	ERR1883808	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1600918	ERR1883611	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601077	ERR1883770	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601078	ERR1883771	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601079	ERR1883772	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601080	ERR1883773	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601081	ERR1883774	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601082	ERR1883775	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601103	ERR1883796	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601104	ERR1883797	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601105	ERR1883798	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601106	ERR1883799	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601107	ERR1883800	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601108	ERR1883801	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601116	ERR1883809	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601117	ERR1883810	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601118	ERR1883811	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601119	ERR1883812	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601120	ERR1883813	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601121	ERR1883814	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3674	ERS1600910	ERR1883603	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3845	ERS1600911	ERR1883604	Remove:CAPTUREDATA
