Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession	TODO
Environment	Slon2017	10.1126/science.aam9695	SP3826	ERS1600862	ERR1883555	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3827	ERS1600863	ERR1883556	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3828	ERS1600864	ERR1883557	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3829	ERS1600865	ERR1883558	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3830	ERS1600866	ERR1883559	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3831	ERS1600867	ERR1883560	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3801	ERS1600811	ERR1883504	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3802	ERS1600812	ERR1883505	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3804	ERS1600813	ERR1883506	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3805	ERS1600814	ERR1883507	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3806	ERS1600815	ERR1883508	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3807	ERS1600816	ERR1883509	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3808	ERS1600817	ERR1883510	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3809	ERS1600818	ERR1883511	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3810	ERS1600819	ERR1883512	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3811	ERS1600820	ERR1883513	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3812	ERS1600821	ERR1883514	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3858	ERS1600846	ERR1883539	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3859	ERS1600845	ERR1883538	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3860	ERS1600843	ERR1883536	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3861	ERS1600839	ERR1883532	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3862	ERS1600837	ERR1883530	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3863	ERS1600834	ERR1883527	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3864	ERS1600832	ERR1883525	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3865	ERS1600855	ERR1883548	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3866	ERS1600856	ERR1883549	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3867	ERS1600857	ERR1883550	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3868	ERS1600858	ERR1883551	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3869	ERS1600848	ERR1883541	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3870	ERS1600831	ERR1883524	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3799	ERS1600919	ERR1883612	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3800	ERS1600920	ERR1883613	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3799	ERS1600809	ERR1883502	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3800	ERS1600810	ERR1883503	Remove:CAPTUREDATA
Environment	Graham2016	10.1073/pnas.1604903113	PH117-PH183_5	SRS1424521	SRR3480250	Unsure: Ask Pete
Environment	Graham2016	10.1073/pnas.1604903113	PH117-PH183_5	SRS1424521	SRR3480262	Unsure: Ask Pete
Environment	Graham2016	10.1073/pnas.1604903113	PH117-PH183_5	SRS1424521	SRR3480274	Unsure: Ask Pete
HostAssociatedMetagenome	Bieker2020	10.1111/1755-0998.13174	USNH-39	SRS1631732	SRR4047228	Modify: has two SRS codes, add second: SRS1631730 (make sure all libs added, SG only)
HostAssociatedSingle	Campos2021	10.1371/journal.ppat.1009714	HERB1937	SRS7491184	SRR12792042	Modify: samples has SRR not SRS code
HostAssociatedSingle	Schuenemann2011	10.1073/pnas.1105107108	ES1-5	HE576987	HE576986.1	Modify: should be HE576987.1, the 6 version is partial gene
HostAssociatedSingle	Worobey2016	10.1038/nature19827	SF73	Unknown	Unknown	Modify: add KJ numbers which can associate with patient from EMBL file: KJ704787, KJ704788, KJ704789, KJ704790, KJ704791, KJ704792, KJ704793, KJ704794, KJ704795, KJ704796 and KJ704797.
HostAssociatedSingle	Worobey2016	10.1038/nature19827	SF74	Unknown	Unknown	Modify: add KJ numbers which can associate with patient from EMBL file: KJ704787, KJ704788, KJ704789, KJ704790, KJ704791, KJ704792, KJ704793, KJ704794, KJ704795, KJ704796 and KJ704797.
HostAssociatedSingle	Worobey2016	10.1038/nature19827	SF20	Unknown	Unknown	Modify: add KJ numbers which can associate with patient from EMBL file: KJ704787, KJ704788, KJ704789, KJ704790, KJ704791, KJ704792, KJ704793, KJ704794, KJ704795, KJ704796 and KJ704797.
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC7	Unknown	Unknown	Modify: add KJ numbers which can associate with patient from EMBL file: KJ704787, KJ704788, KJ704789, KJ704790, KJ704791, KJ704792, KJ704793, KJ704794, KJ704795, KJ704796 and KJ704797.
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC16	Unknown	Unknown	Modify: add KJ numbers which can associate with patient from EMBL file: KJ704787, KJ704788, KJ704789, KJ704790, KJ704791, KJ704792, KJ704793, KJ704794, KJ704795, KJ704796 and KJ704797.
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC12	Unknown	Unknown	Modify: add KJ numbers which can associate with patient from EMBL file: KJ704787, KJ704788, KJ704789, KJ704790, KJ704791, KJ704792, KJ704793, KJ704794, KJ704795, KJ704796 and KJ704797.
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC4	Unknown	Unknown	Modify: add KJ numbers which can associate with patient from EMBL file: KJ704787, KJ704788, KJ704789, KJ704790, KJ704791, KJ704792, KJ704793, KJ704794, KJ704795, KJ704796 and KJ704797.
HostAssociatedSingle	Worobey2016	10.1038/nature19827	NYC1	Unknown	Unknown	Modify: add KJ numbers which can associate with patient from EMBL file: KJ704787, KJ704788, KJ704789, KJ704790, KJ704791, KJ704792, KJ704793, KJ704794, KJ704795, KJ704796 and KJ704797.
HostAssociatedSingle	Worobey2016	10.1038/nature19827	Patient 0	Unknown	Unknown	Modify: add KJ numbers which can associate with patient from EMBL file: KJ704787, KJ704788, KJ704789, KJ704790, KJ704791, KJ704792, KJ704793, KJ704794, KJ704795, KJ704796 and KJ704797.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA251	DA251	DA251-combined	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA336	DA336	DA336-combined	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA337	DA337	DA337-combined	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA55	DA55	DA55-combined-unique	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	DA66	DA66	DA66-combined-unique	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	NEO105	NEO105	NEO105-combined	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	RISE569	RISE569	RISE569-combined	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK143	VK143	VK143-combined	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK154	VK154	VK154-combined	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK477	VK477	VK477-combined	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Muhlemann2018b	10.1073/pnas.1804921115	VK6	VK6	VK6-combined	Modify: replace ERS code with github as archive and accession etc.
HostAssociatedSingle	Rascovan2019	10.1016/j.cell.2018.11.005	Gok4	ERS434181	ERR476800	Remove: No pestis genome found
HostAssociatedSingle	Rascovan2019	10.1016/j.cell.2018.11.005	Gok4	ERS434181	ERR476801	Remove: No pestis genome found
HostAssociatedSingle	deDios2021	10.1016/j.isci.2021.103021	F1364-1436	ERS6464928	ERR5947503	Remove: No salmonella genome found
