Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601100	ERR1883793
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601101	ERR1883794
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601102	ERR1883795
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601109	ERR1883802
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601110	ERR1883803
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601111	ERR1883804
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601112	ERR1883805
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601113	ERR1883806
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601114	ERR1883807
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601115	ERR1883808
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1600918	ERR1883611
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601077	ERR1883770
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601078	ERR1883771
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601079	ERR1883772
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601080	ERR1883773
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601081	ERR1883774
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1601082	ERR1883775
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601103	ERR1883796
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601104	ERR1883797
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601105	ERR1883798
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601106	ERR1883799
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601107	ERR1883800
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601108	ERR1883801
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601116	ERR1883809
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601117	ERR1883810
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601118	ERR1883811
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601119	ERR1883812
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601120	ERR1883813
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601121	ERR1883814
Environment	Slon2017	10.1126/science.aam9695	SP3674	ERS1600910	ERR1883603
Environment	Slon2017	10.1126/science.aam9695	SP3845	ERS1600911	ERR1883604
Environment	Slon2017	10.1126/science.aam9695	SP3907	ERS1600912	ERR1883605
